-182,11,53
-368,-30664,-50
10368,-30720,-49
10816,-30720,-46
8722,-23009,12
-47,35,44
-47,33,45
-48,34,46
-52,32,44
-49,28,49
-45,28,48
-41,30,46
-36,30,44
-27,28,46
-17,26,42
-12,23,43
-6,26,45
0,27,44
0,25,44
4,26,49
5,25,48
7,23,49
9,22,51
13,13,53
13,15,48
14,14,50
13,11,47
17,8,45
16,4,45
18,0,40
18,1,41
18,7,41
19,9,41
18,14,43
18,19,48
16,23,46
15,23,46
11,28,46
12,26,45
9,26,43
3,26,38
1,25,38
-1,27,33
-3,26,31
-3,25,27
-4,25,27
-9,28,24
-9,26,23
-12,30,22
-13,37,25
-16,41,23
-20,49,30
-26,56,32
-28,66,42
-32,68,43
-38,80,50
-41,87,56
-42,98,64
-42,109,67
-39,122,74
-37,133,75
-40,141,82
-38,150,82
-39,151,83
-40,150,87
-47,146,85
-49,141,87
-57,135,89
-63,128,83
-72,123,87
-79,123,87
-87,122,86
-95,121,86
-101,121,84
-106,125,79
-109,129,79
-119,139,75
-131,154,71
-141,174,63
-154,190,59
-169,204,52
-180,211,45
-194,221,39
-208,231,33
-216,238,29
-229,248,19
-243,253,11
-248,261,6
-255,269,2
-263,283,2
-262,305,-3
-263,326,-2
-259,342,-2
-257,363,-1
-249,377,2
-238,389,6
-230,401,10
-217,401,15
-209,390,20
-205,381,20
-200,371,23
-198,356,32
-189,339,31
-183,323,32
-169,302,34
-155,290,37
-140,275,43
-122,261,46
-106,236,53
-91,217,56
-76,198,61
-61,183,65
-52,163,70
-41,145,70
-33,124,77
-25,108,73
-19,92,72
-15,72,71
-8,55,64
-4,42,60
2,28,56
3,19,49
8,5,42
10,0,34
11,-10,34
16,-19,32
12,-24,29
12,-27,24
10,-21,21
8,-15,19
3,-3,19
0,14,15
-7,27,13
-15,44,12
-19,54,10
-23,64,6
-27,71,6
-27,75,3
-20,76,-1
-16,74,-7
-7,67,-8
-1,64,-12
6,59,-12
15,60,-13
21,57,-8
28,58,-6
28,57,-4
31,55,-2
24,54,-1
21,52,-2
16,48,-5
8,43,-7
0,36,-9
-3,26,-16
-9,15,-22
-13,2,-27
-10,-9,-33
-13,-21,-36
-12,-30,-40
-9,-33,-41
-5,-39,-37
-1,-40,-37
3,-41,-30
3,-43,-23
2,-47,-20
1,-52,-15
-2,-55,-19
-7,-61,-17
-12,-65,-16
-18,-71,-22
-28,-81,-27
-37,-82,-34
-50,-89,-39
-63,-87,-47
-76,-88,-50
-86,-86,-58
-100,-87,-60
-112,-80,-63
-132,-74,-65
-148,-59,-70
-168,-56,-71
-185,-54,-70
-200,-56,-71
-224,-58,-73
-245,-66,-75
-264,-72,-79
-284,-89,-85
-312,-112,-90
-337,-129,-95
-361,-142,-97
-393,-163,-104
-427,-183,-111
-460,-207,-115
-487,-224,-121
-509,-226,-126
-535,-225,-132
-553,-220,-137
-572,-223,-145
-584,-227,-150
-599,-234,-161
-607,-249,-171
-618,-264,-177
-632,-297,-186
-651,-332,-197
-676,-376,-212
